--- Block Sort ---
Tempo	Comparacao	Troca
142	13852		13924
1830	331067		323930
72871	8860406		8768235
3318356	261065862		259861733
26082032	8027881836		8013325607

100	14735		14020
1607	323380		316851
87426	8667046		8607910
838516	254551382		253975477
24335266	7817717022		7812266958

29	4967		3472
332	52050		37200
3539	613657		463888
37628	6550500		5052000
387612	77551386		62553846

149	19739		19822
2491	537150		537200
199808	16349726		16350944
1699443	505051500		505052000
79062414	15881300047		15881313932
