--- Bolha Inteligente ---
Tempo	Comparacao	Troca	Chamadas
34	4895	2400		0
693	124047	58883		0
1949	499122	248748		0
52399	12487204	6218012		0
187279	49970910	24909014		0
6319094	1249927414	622011344		0

25	4935	2666		0
487	124120	56794		0
1729	499224	220318		0
39586	12486024	5466102		0
5785367	1249955694	551410504		0
131302909	4999619922	2207561171		0

1	99	0		0
2	499	0		0
4	999	0		0
10	4999	0		0
123	49999	0		0
294	99999	0		0

42	4950	4950		0
638	124750	124750		0
2673	499500	499500		0
62899	12497500	12497500		0
5887309	1249975000	1249975000		0
69873417	4999950000	4999950000		0
