--- Bolha ---
Tempo	Comparacao	Troca	Chamadas
52	9900	2400		0
1019	249500	58883		0
3398	999000	248748		0
66469	24995000	6218012		0
279868	99990000	24909014		0
8455685	2499950000	622011344		0

48	9900	2666		0
1093	249500	56794		0
2877	999000	220318		0
58317	24995000	5466102		0
7706793	2499950000	551410504		0
62810765	9999900000	2207561171		0

27	9900	0		0
705	249500	0		0
3362	999000	0		0
45913	24995000	0		0
6766760	2499950000	0		0
27466715	9999900000	0		0

40	9900	4950		0
948	249500	124750		0
4904	999000	499500		0
87148	24995000	12497500		0
9425328	2499950000	1249975000		0
40198671	9999900000	4999950000		0
