--- Insercao ---
Tempo	Comparacao	Troca	Chamadas
12	2499	2499		0
169	59382	59382		0
687	249747	249747		0
19959	6223011	6223011		0
76320	24919013	24919013		0
1911468	622061343	622061343		0

12	2765	2765		0
240	57293	57293		0
637	221317	221317		0
21745	5471101	5471101		0
1594351	551460503	551460503		0
27488016	2207661170	2207661170		0

0	99	99		0
3	499	499		0
4	999	999		0
17	4999	4999		0
261	49999	49999		0
396	99999	99999		0

22	5049	5049		0
350	125249	125249		0
2177	500499	500499		0
36720	12502499	12502499		0
3577300	1250024999	1250024999		0
58218617	5000049999	5000049999		0
