--- Merge Sort ---
Tempo	Comparacao	Troca	Chamadas
20	542	0		199
74	3851	0		999
193	8704	0		1999
980	55202	0		9999
2079	120436	0		19999
14633	717980	0		99999
128084	8835892	0		999999
264773	18671259	0		1999999

35	535	0		199
80	3840	0		999
197	8719	0		1999
1231	55083	0		9999
14091	717905	0		99999
103463	1535663	0		199999
143157	8832091	0		999999
290390	18663982	0		1999999

16	356	0		199
81	2272	0		999
123	5044	0		1999
672	32004	0		9999
10202	401952	0		99999
18139	853904	0		199999
106992	4783216	0		999999
199028	10066432	0		1999999

199793	10066432	0		1999999
210568	10066432	0		1999999
14	316	0		199
55	2216	0		999
189	4932	0		1999
766	29804	0		9999
8077	382512	0		99999
93197	815024	0		199999
104501	4692496	0		999999
192177	9884992	0		1999999
