--- Selecao ---
Tempo	Comparacao	Troca	Chamadas
21	4950	98		0
381	124750	493		0
1357	499500	994		0
25406	12497500	4989		0
97317	49995000	9983		0
2218693	1249975000	49944		0

18	4950	78		0
349	124750	398		0
848	499500	798		0
26638	12497500	3982		0
2080243	1249975000	39834		0
53218487	4999950000	79601		0

14	4950	0		0
344	124750	0		0
1372	499500	0		0
19822	12497500	0		0
3166714	1249975000	0		0
12874665	4999950000	0		0

18	4950	50		0
359	124750	250		0
1607	499500	500		0
28562	12497500	2500		0
3614972	1249975000	25000		0
57893758	4999950000	50000		0
